DiskRead	DiskWrite	IORead	IOWrite	TpsRead	TpsWirte	DiskUtil	NetRead	NetWrite	Tot	Tcp	Udp	Raw	Frg	
   0     0     0     0     0     0     0:   0   60B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  834B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  544B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:   0  554B    0  973   5   5   0   0
   0   284000    0  4.00     0     4     0:   0  304B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2056B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  462B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  212B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  402B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0  882B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  554B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0 1915B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  474B    0  973   5   5   0   0
   0   280000    0  5.00     0     5     0:   0 1844B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  212B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  336B    0  973   5   5   0   0
   0    32000    0  3.00     0     3     0:   0 1565B  155B 973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  420B    0  973   5   5   0   0
   0   252000    0  6.00     0     6     0:   0 1883B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  234B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:0.40   92B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  698B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1936B    0  973   5   5   0   0
   0   280000    0  5.00     0     5     0:   0 1292B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  120B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1975B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   60B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  714B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0  854B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:   0   60B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  948B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2398B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  502B    0  973   5   5   0   0
   0   284000    0  3.00     0     3     0:   0 2035B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:   0  392B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  642B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  414B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  332B    0  973   5   5   0   0
   0   236000    0  3.00     0     3     0:   0  916B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  212B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 4085B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  272B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0   60B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  948B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   43000  169B 973   5   5   0   0
   0     0     0     0     0     0     0:   0  540B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0 2035B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:   0  262B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2694B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  272B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  240B    0  973   5   5   0   0
   0   296000    0  3.00     0     3     0:   0 1030B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  120B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2357B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  914B    0  973   5   5   0   0
   0   240000    0  3.00     0     3     0:   0   60B    0  973   5   5   0   0
